"arsfacl","zip","address","latitude","longitude","name"
"GUA","00965","652 CARRETERA 28
GUAYNABO, PR  00965",18.42284,-66.112327,"MDC GUAYNABO"
"DEV","01432","42 PATTON ROAD AYER, MA  01432",42.52618,-71.623132,"FMC DEVENS"
"BER","03570","1 SUCCESS LOOP ROAD BERLIN, NH  03570",44.521132,-71.137812,"FCI BERLIN"
"DAN","06811","ROUTE 37 DANBURY, CT  06811",41.437411,-73.468124,"FCI DANBURY"
"FAI","08320","655 FAIRTON-MILLVILLE ROAD FAIRTON, NJ  08320",39.384662,-75.159859,"FCI FAIRTON
"
"FTD","08640","5756 HARTFORD & POINTVILE RD JOINT BASE MDL, NJ  08640",39.998386,-74.61333,"FCI FORT DIX"
"NYM","10007","150 PARK ROW NEW YORK, NY  10007",40.713105,-74.001499,"MCC NEW YORK"
"OTV","10963","TWO MILE DRIVE OTISVILLE, NY  10963",41.486443,-74.535887,"FCI OTISVILLE"
"BRO","11232","80 29TH STREET BROOKLYN, NY  11232",40.660408,-74.004472,"MDC BROOKLYN"
"RBK","12977","128 RAY BROOK ROAD RAY BROOK, NY  12977",44.290579,-74.093694,"FCI RAY BROOK"
"LOR","15940","772 SAINT JOSEPH ST. LORETTO, PA  15940",40.496414,-78.620382,"FCI LORETTO"
"MCK","16738","6975 ROUTE 59 LEWIS RUN, PA  16738",41.798353,-78.687103,"FCI MCKEAN"
"MVC","16866","555 GEO DRIVE PHILIPSBURG, PA  16866",40.921755,-78.239472,"CI MOSHANNON VALLEY"
"ALF","17810","RT 15,2 MILES N OF ALLENWOOD ALLENWOOD, PA  17810",41.132036,-76.927686,"FCI ALLENWOOD LOW"
"ALM","17810","RT 15,2 MILES N OF ALLENWOOD ALLENWOOD, PA  17810",41.132036,-76.927686,"FCI ALLENWOOD MEDIUM"
"ALP","17810","RT 15,2 MILES N OF ALLENWOOD ALLENWOOD, PA  17810",41.132036,-76.927686,"USP ALLENWOOD HIGH"
"LEW","17837","2400 ROBERT F. MILLER DRIVE LEWISBURG, PA  17837",40.986664,-76.913736,"USP LEWISBURG "
"SCH","17954","INTERSTATE 81 & 901 W MINERSVILLE, PA  17954",40.732477,-76.344072,"FCI SCHUYLKILL"
"CAA","18472","3057 EASTON TURNPIKE WAYMART, PA  18472",41.567457,-75.412286,"USP CANAAN"
